report_id,timestamp,latitude,longitude,incident_type,severity,description,photo_path,status,reporter_name,infrastructure_affected,road_blocked,reviewer_notes,verified_at
REP-148E54F6,2026-08-21 20:00:45,25.5788,91.8933,Landslide,HIGH,Test verification report,,SUBMITTED_PROTOTYPE,,,,,
REP-EE50E9ED,2026-08-21 20:34:38,25.5788,91.8933,Landslide,HIGH,Test verification report,,SUBMITTED_PROTOTYPE,,,,,
REP-E74D3020,2026-08-21 20:42:33,25.5788,91.8933,Landslide,HIGH,Test verification report,,SUBMITTED_PROTOTYPE,,,,,
REP-C0457FCA,2026-08-21 20:45:44,25.5788,91.8933,Crack,HIGH,Pytest verification observation report,,SUBMITTED_PROTOTYPE,,,,,
REP-56536698,2026-08-21 20:47:17,25.5788,91.8933,Crack,HIGH,Pytest verification observation report,,SUBMITTED_PROTOTYPE,,,,,
REP-97AA8D21,2026-08-21 20:47:32,25.5788,91.8933,Landslide,HIGH,Test verification report,,SUBMITTED_PROTOTYPE,,,,,
REP-46D342D9,2026-08-21 20:54:52,25.5788,91.8933,Crack,HIGH,Pytest verification observation report,,SUBMITTED_PROTOTYPE,,,,,
REP-EE96C487,2026-08-21 20:56:42,25.5788,91.8933,Landslide,HIGH,Test verification report,,SUBMITTED_PROTOTYPE,,,,,
REP-EAF2B1D3,2026-08-21 21:00:48,25.5788,91.8933,Crack,HIGH,Pytest verification observation report,,SUBMITTED_PROTOTYPE,,,,,
REP-AC9B34DA,2026-08-21 21:00:56,25.5788,91.8933,Landslide,HIGH,Test verification report,,SUBMITTED_PROTOTYPE,,,,,
REP-0090E773,2026-08-21 21:06:10,25.5788,91.8933,Crack,HIGH,Pytest verification observation report,,SUBMITTED_PROTOTYPE,,,,,
REP-86E63B12,2026-08-21 21:06:19,25.5788,91.8933,Landslide,HIGH,Test verification report,,SUBMITTED_PROTOTYPE,,,,,
REP-6FFA02A4,2026-08-21 21:10:40,25.5788,91.8933,Crack,HIGH,Pytest verification observation report,,SUBMITTED_PROTOTYPE,,,,,
REP-E683ABED,2026-08-21 21:10:49,25.5788,91.8933,Landslide,HIGH,Test verification report,,SUBMITTED_PROTOTYPE,,,,,
REP-22A58E5B,2026-08-21 21:14:08,25.5788,91.8933,Crack,HIGH,Pytest verification observation report,,PENDING_VERIFICATION,Citizen / Field Engineer,Road / Slope Transit,False,,
REP-7B21177F,2026-08-21 21:14:08,25.5788,91.8933,SLOPE_FAILURE,HIGH,Debris observed across road shoulder on Shillong bypass,,PENDING_VERIFICATION,Field Officer K. Sharma,NH-6 Bypass,True,,
REP-C886C5E5,2026-08-21 21:14:50,25.5788,91.8933,Crack,HIGH,Pytest verification observation report,,PENDING_VERIFICATION,Citizen / Field Engineer,Road / Slope Transit,False,,
REP-F76BC4FD,2026-08-21 21:14:50,25.5788,91.8933,SLOPE_FAILURE,HIGH,Debris observed across road shoulder on Shillong bypass,,VERIFIED,Field Officer K. Sharma,NH-6 Bypass,True,Geotechnical team validated active slip plane.,2026-08-21 21:14:50
REP-114DB1E9,2026-08-21 21:15:12,25.5788,91.8933,Crack,HIGH,Pytest verification observation report,,PENDING_VERIFICATION,Citizen / Field Engineer,Road / Slope Transit,False,,
