scene_id,acquisition_date,product_id,file_path,file_size_bytes,download_status,verification_status,checksum_status,notes
SCENE_01,2018-01-05,SEN_IW_SLC__1SDV_20180105T001150_20180105T001218_000000_00ABCD_1234,data\insar\raw\SEN_IW_SLC__1SDV_20180105T001150_20180105T001218_000000_00ABCD_1234.zip,0,PENDING_AUTHENTICATION,UNVERIFIED,PENDING,"Sentinel-1 SENTINEL-1A IW SLC RelOrbit 121 (Desc, VV+VH). Download URL: https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20180105T001150_20180105T001218_000000_00ABCD_1234.zip"
SCENE_02,2018-05-17,SEN_IW_SLC__1SDV_20180517T001150_20180517T001218_000011_00ABCD_1234,data\insar\raw\SEN_IW_SLC__1SDV_20180517T001150_20180517T001218_000011_00ABCD_1234.zip,0,PENDING_AUTHENTICATION,UNVERIFIED,PENDING,"Sentinel-1 SENTINEL-1B IW SLC RelOrbit 121 (Desc, VV+VH). Download URL: https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20180517T001150_20180517T001218_000011_00ABCD_1234.zip"
SCENE_03,2018-09-26,SEN_IW_SLC__1SDV_20180926T001150_20180926T001218_000022_00ABCD_1234,data\insar\raw\SEN_IW_SLC__1SDV_20180926T001150_20180926T001218_000022_00ABCD_1234.zip,0,PENDING_AUTHENTICATION,UNVERIFIED,PENDING,"Sentinel-1 SENTINEL-1A IW SLC RelOrbit 121 (Desc, VV+VH). Download URL: https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20180926T001150_20180926T001218_000022_00ABCD_1234.zip"
SCENE_04,2019-02-17,SEN_IW_SLC__1SDV_20190217T001150_20190217T001218_000034_00ABCD_1234,data\insar\raw\SEN_IW_SLC__1SDV_20190217T001150_20190217T001218_000034_00ABCD_1234.zip,0,PENDING_AUTHENTICATION,UNVERIFIED,PENDING,"Sentinel-1 SENTINEL-1A IW SLC RelOrbit 121 (Desc, VV+VH). Download URL: https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20190217T001150_20190217T001218_000034_00ABCD_1234.zip"
SCENE_05,2019-06-29,SEN_IW_SLC__1SDV_20190629T001150_20190629T001218_000045_00ABCD_1234,data\insar\raw\SEN_IW_SLC__1SDV_20190629T001150_20190629T001218_000045_00ABCD_1234.zip,0,PENDING_AUTHENTICATION,UNVERIFIED,PENDING,"Sentinel-1 SENTINEL-1B IW SLC RelOrbit 121 (Desc, VV+VH). Download URL: https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20190629T001150_20190629T001218_000045_00ABCD_1234.zip"
SCENE_06,2019-11-08,SEN_IW_SLC__1SDV_20191108T001150_20191108T001218_000056_00ABCD_1234,data\insar\raw\SEN_IW_SLC__1SDV_20191108T001150_20191108T001218_000056_00ABCD_1234.zip,0,PENDING_AUTHENTICATION,UNVERIFIED,PENDING,"Sentinel-1 SENTINEL-1A IW SLC RelOrbit 121 (Desc, VV+VH). Download URL: https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20191108T001150_20191108T001218_000056_00ABCD_1234.zip"
SCENE_07,2020-03-31,SEN_IW_SLC__1SDV_20200331T001150_20200331T001218_000068_00ABCD_1234,data\insar\raw\SEN_IW_SLC__1SDV_20200331T001150_20200331T001218_000068_00ABCD_1234.zip,0,PENDING_AUTHENTICATION,UNVERIFIED,PENDING,"Sentinel-1 SENTINEL-1A IW SLC RelOrbit 121 (Desc, VV+VH). Download URL: https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20200331T001150_20200331T001218_000068_00ABCD_1234.zip"
SCENE_08,2020-08-10,SEN_IW_SLC__1SDV_20200810T001150_20200810T001218_000079_00ABCD_1234,data\insar\raw\SEN_IW_SLC__1SDV_20200810T001150_20200810T001218_000079_00ABCD_1234.zip,0,PENDING_AUTHENTICATION,UNVERIFIED,PENDING,"Sentinel-1 SENTINEL-1B IW SLC RelOrbit 121 (Desc, VV+VH). Download URL: https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20200810T001150_20200810T001218_000079_00ABCD_1234.zip"
SCENE_09,2021-01-01,SEN_IW_SLC__1SDV_20210101T001150_20210101T001218_000091_00ABCD_1234,data\insar\raw\SEN_IW_SLC__1SDV_20210101T001150_20210101T001218_000091_00ABCD_1234.zip,0,PENDING_AUTHENTICATION,UNVERIFIED,PENDING,"Sentinel-1 SENTINEL-1B IW SLC RelOrbit 121 (Desc, VV+VH). Download URL: https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20210101T001150_20210101T001218_000091_00ABCD_1234.zip"
SCENE_10,2021-05-13,SEN_IW_SLC__1SDV_20210513T001150_20210513T001218_000102_00ABCD_1234,data\insar\raw\SEN_IW_SLC__1SDV_20210513T001150_20210513T001218_000102_00ABCD_1234.zip,0,PENDING_AUTHENTICATION,UNVERIFIED,PENDING,"Sentinel-1 SENTINEL-1A IW SLC RelOrbit 121 (Desc, VV+VH). Download URL: https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20210513T001150_20210513T001218_000102_00ABCD_1234.zip"
SCENE_11,2021-09-22,SEN_IW_SLC__1SDV_20210922T001150_20210922T001218_000113_00ABCD_1234,data\insar\raw\SEN_IW_SLC__1SDV_20210922T001150_20210922T001218_000113_00ABCD_1234.zip,0,PENDING_AUTHENTICATION,UNVERIFIED,PENDING,"Sentinel-1 SENTINEL-1B IW SLC RelOrbit 121 (Desc, VV+VH). Download URL: https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20210922T001150_20210922T001218_000113_00ABCD_1234.zip"
SCENE_12,2022-02-13,SEN_IW_SLC__1SDV_20220213T001150_20220213T001218_000125_00ABCD_1234,data\insar\raw\SEN_IW_SLC__1SDV_20220213T001150_20220213T001218_000125_00ABCD_1234.zip,0,PENDING_AUTHENTICATION,UNVERIFIED,PENDING,"Sentinel-1 SENTINEL-1D IW SLC RelOrbit 121 (Desc, VV+VH). Download URL: https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20220213T001150_20220213T001218_000125_00ABCD_1234.zip"
