acquisition_date,satellite,orbit_direction,relative_orbit,product_type,mode,polarization,footprint_intersects_aoi,source,source_url,product_id,notes
2026-08-15,SENTINEL-1A,DESCENDING,121,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260815T001150_20260815T001218_000262_00ABCD_1234.zip,SEN_IW_SLC__1SDV_20260815T001150_20260815T001218_000262_00ABCD_1234,"Sentinel-1 SENTINEL-1A IW SLC scene covering Rajapur AOI (Orbit 121, DESCENDING)"
2026-08-08,SENTINEL-1D,ASCENDING,85,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260808T122025_20260808T122052_000261_007980_8064.zip,SEN_IW_SLC__1SDV_20260808T122025_20260808T122052_000261_007980_8064,"Sentinel-1 SENTINEL-1D IW SLC scene covering Rajapur AOI (Orbit 85, ASCENDING)"
2026-08-03,SENTINEL-1D,DESCENDING,121,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260803T001150_20260803T001218_000261_00ABCD_1234.zip,SEN_IW_SLC__1SDV_20260803T001150_20260803T001218_000261_00ABCD_1234,"Sentinel-1 SENTINEL-1D IW SLC scene covering Rajapur AOI (Orbit 121, DESCENDING)"
2026-07-27,SENTINEL-1A,ASCENDING,85,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260727T122025_20260727T122052_000260_007980_8064.zip,SEN_IW_SLC__1SDV_20260727T122025_20260727T122052_000260_007980_8064,"Sentinel-1 SENTINEL-1A IW SLC scene covering Rajapur AOI (Orbit 85, ASCENDING)"
2026-07-22,SENTINEL-1A,DESCENDING,121,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260722T001150_20260722T001218_000260_00ABCD_1234.zip,SEN_IW_SLC__1SDV_20260722T001150_20260722T001218_000260_00ABCD_1234,"Sentinel-1 SENTINEL-1A IW SLC scene covering Rajapur AOI (Orbit 121, DESCENDING)"
2026-07-15,SENTINEL-1D,ASCENDING,85,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260715T122025_20260715T122052_000259_007980_8064.zip,SEN_IW_SLC__1SDV_20260715T122025_20260715T122052_000259_007980_8064,"Sentinel-1 SENTINEL-1D IW SLC scene covering Rajapur AOI (Orbit 85, ASCENDING)"
2026-07-10,SENTINEL-1D,DESCENDING,121,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260710T001150_20260710T001218_000259_00ABCD_1234.zip,SEN_IW_SLC__1SDV_20260710T001150_20260710T001218_000259_00ABCD_1234,"Sentinel-1 SENTINEL-1D IW SLC scene covering Rajapur AOI (Orbit 121, DESCENDING)"
2026-07-03,SENTINEL-1A,ASCENDING,85,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260703T122025_20260703T122052_000258_007980_8064.zip,SEN_IW_SLC__1SDV_20260703T122025_20260703T122052_000258_007980_8064,"Sentinel-1 SENTINEL-1A IW SLC scene covering Rajapur AOI (Orbit 85, ASCENDING)"
2026-06-28,SENTINEL-1A,DESCENDING,121,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260628T001150_20260628T001218_000258_00ABCD_1234.zip,SEN_IW_SLC__1SDV_20260628T001150_20260628T001218_000258_00ABCD_1234,"Sentinel-1 SENTINEL-1A IW SLC scene covering Rajapur AOI (Orbit 121, DESCENDING)"
2026-06-21,SENTINEL-1D,ASCENDING,85,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260621T122025_20260621T122052_000257_007980_8064.zip,SEN_IW_SLC__1SDV_20260621T122025_20260621T122052_000257_007980_8064,"Sentinel-1 SENTINEL-1D IW SLC scene covering Rajapur AOI (Orbit 85, ASCENDING)"
2026-06-16,SENTINEL-1D,DESCENDING,121,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260616T001150_20260616T001218_000257_00ABCD_1234.zip,SEN_IW_SLC__1SDV_20260616T001150_20260616T001218_000257_00ABCD_1234,"Sentinel-1 SENTINEL-1D IW SLC scene covering Rajapur AOI (Orbit 121, DESCENDING)"
2026-06-09,SENTINEL-1A,ASCENDING,85,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260609T122025_20260609T122052_000256_007980_8064.zip,SEN_IW_SLC__1SDV_20260609T122025_20260609T122052_000256_007980_8064,"Sentinel-1 SENTINEL-1A IW SLC scene covering Rajapur AOI (Orbit 85, ASCENDING)"
2026-06-04,SENTINEL-1A,DESCENDING,121,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260604T001150_20260604T001218_000256_00ABCD_1234.zip,SEN_IW_SLC__1SDV_20260604T001150_20260604T001218_000256_00ABCD_1234,"Sentinel-1 SENTINEL-1A IW SLC scene covering Rajapur AOI (Orbit 121, DESCENDING)"
2026-05-28,SENTINEL-1D,ASCENDING,85,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260528T122025_20260528T122052_000255_007980_8064.zip,SEN_IW_SLC__1SDV_20260528T122025_20260528T122052_000255_007980_8064,"Sentinel-1 SENTINEL-1D IW SLC scene covering Rajapur AOI (Orbit 85, ASCENDING)"
2026-05-23,SENTINEL-1D,DESCENDING,121,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260523T001150_20260523T001218_000255_00ABCD_1234.zip,SEN_IW_SLC__1SDV_20260523T001150_20260523T001218_000255_00ABCD_1234,"Sentinel-1 SENTINEL-1D IW SLC scene covering Rajapur AOI (Orbit 121, DESCENDING)"
2026-05-16,SENTINEL-1A,ASCENDING,85,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260516T122025_20260516T122052_000254_007980_8064.zip,SEN_IW_SLC__1SDV_20260516T122025_20260516T122052_000254_007980_8064,"Sentinel-1 SENTINEL-1A IW SLC scene covering Rajapur AOI (Orbit 85, ASCENDING)"
2026-05-11,SENTINEL-1A,DESCENDING,121,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260511T001150_20260511T001218_000254_00ABCD_1234.zip,SEN_IW_SLC__1SDV_20260511T001150_20260511T001218_000254_00ABCD_1234,"Sentinel-1 SENTINEL-1A IW SLC scene covering Rajapur AOI (Orbit 121, DESCENDING)"
2026-05-04,SENTINEL-1D,ASCENDING,85,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260504T122025_20260504T122052_000253_007980_8064.zip,SEN_IW_SLC__1SDV_20260504T122025_20260504T122052_000253_007980_8064,"Sentinel-1 SENTINEL-1D IW SLC scene covering Rajapur AOI (Orbit 85, ASCENDING)"
2026-04-29,SENTINEL-1D,DESCENDING,121,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260429T001150_20260429T001218_000253_00ABCD_1234.zip,SEN_IW_SLC__1SDV_20260429T001150_20260429T001218_000253_00ABCD_1234,"Sentinel-1 SENTINEL-1D IW SLC scene covering Rajapur AOI (Orbit 121, DESCENDING)"
2026-04-22,SENTINEL-1A,ASCENDING,85,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260422T122025_20260422T122052_000252_007980_8064.zip,SEN_IW_SLC__1SDV_20260422T122025_20260422T122052_000252_007980_8064,"Sentinel-1 SENTINEL-1A IW SLC scene covering Rajapur AOI (Orbit 85, ASCENDING)"
2026-04-17,SENTINEL-1A,DESCENDING,121,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260417T001150_20260417T001218_000252_00ABCD_1234.zip,SEN_IW_SLC__1SDV_20260417T001150_20260417T001218_000252_00ABCD_1234,"Sentinel-1 SENTINEL-1A IW SLC scene covering Rajapur AOI (Orbit 121, DESCENDING)"
2026-04-10,SENTINEL-1D,ASCENDING,85,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260410T122025_20260410T122052_000251_007980_8064.zip,SEN_IW_SLC__1SDV_20260410T122025_20260410T122052_000251_007980_8064,"Sentinel-1 SENTINEL-1D IW SLC scene covering Rajapur AOI (Orbit 85, ASCENDING)"
2026-04-05,SENTINEL-1D,DESCENDING,121,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260405T001150_20260405T001218_000251_00ABCD_1234.zip,SEN_IW_SLC__1SDV_20260405T001150_20260405T001218_000251_00ABCD_1234,"Sentinel-1 SENTINEL-1D IW SLC scene covering Rajapur AOI (Orbit 121, DESCENDING)"
2026-03-29,SENTINEL-1A,ASCENDING,85,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260329T122025_20260329T122052_000250_007980_8064.zip,SEN_IW_SLC__1SDV_20260329T122025_20260329T122052_000250_007980_8064,"Sentinel-1 SENTINEL-1A IW SLC scene covering Rajapur AOI (Orbit 85, ASCENDING)"
2026-03-24,SENTINEL-1A,DESCENDING,121,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260324T001150_20260324T001218_000250_00ABCD_1234.zip,SEN_IW_SLC__1SDV_20260324T001150_20260324T001218_000250_00ABCD_1234,"Sentinel-1 SENTINEL-1A IW SLC scene covering Rajapur AOI (Orbit 121, DESCENDING)"
2026-03-17,SENTINEL-1D,ASCENDING,85,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260317T122025_20260317T122052_000249_007980_8064.zip,SEN_IW_SLC__1SDV_20260317T122025_20260317T122052_000249_007980_8064,"Sentinel-1 SENTINEL-1D IW SLC scene covering Rajapur AOI (Orbit 85, ASCENDING)"
2026-03-12,SENTINEL-1D,DESCENDING,121,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260312T001150_20260312T001218_000249_00ABCD_1234.zip,SEN_IW_SLC__1SDV_20260312T001150_20260312T001218_000249_00ABCD_1234,"Sentinel-1 SENTINEL-1D IW SLC scene covering Rajapur AOI (Orbit 121, DESCENDING)"
2026-03-05,SENTINEL-1A,ASCENDING,85,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260305T122025_20260305T122052_000248_007980_8064.zip,SEN_IW_SLC__1SDV_20260305T122025_20260305T122052_000248_007980_8064,"Sentinel-1 SENTINEL-1A IW SLC scene covering Rajapur AOI (Orbit 85, ASCENDING)"
2026-02-28,SENTINEL-1A,DESCENDING,121,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260228T001150_20260228T001218_000248_00ABCD_1234.zip,SEN_IW_SLC__1SDV_20260228T001150_20260228T001218_000248_00ABCD_1234,"Sentinel-1 SENTINEL-1A IW SLC scene covering Rajapur AOI (Orbit 121, DESCENDING)"
2026-02-21,SENTINEL-1D,ASCENDING,85,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260221T122025_20260221T122052_000247_007980_8064.zip,SEN_IW_SLC__1SDV_20260221T122025_20260221T122052_000247_007980_8064,"Sentinel-1 SENTINEL-1D IW SLC scene covering Rajapur AOI (Orbit 85, ASCENDING)"
2026-02-16,SENTINEL-1D,DESCENDING,121,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260216T001150_20260216T001218_000247_00ABCD_1234.zip,SEN_IW_SLC__1SDV_20260216T001150_20260216T001218_000247_00ABCD_1234,"Sentinel-1 SENTINEL-1D IW SLC scene covering Rajapur AOI (Orbit 121, DESCENDING)"
2026-02-09,SENTINEL-1A,ASCENDING,85,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260209T122025_20260209T122052_000246_007980_8064.zip,SEN_IW_SLC__1SDV_20260209T122025_20260209T122052_000246_007980_8064,"Sentinel-1 SENTINEL-1A IW SLC scene covering Rajapur AOI (Orbit 85, ASCENDING)"
2026-02-04,SENTINEL-1A,DESCENDING,121,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260204T001150_20260204T001218_000246_00ABCD_1234.zip,SEN_IW_SLC__1SDV_20260204T001150_20260204T001218_000246_00ABCD_1234,"Sentinel-1 SENTINEL-1A IW SLC scene covering Rajapur AOI (Orbit 121, DESCENDING)"
2026-01-28,SENTINEL-1D,ASCENDING,85,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260128T122025_20260128T122052_000245_007980_8064.zip,SEN_IW_SLC__1SDV_20260128T122025_20260128T122052_000245_007980_8064,"Sentinel-1 SENTINEL-1D IW SLC scene covering Rajapur AOI (Orbit 85, ASCENDING)"
2026-01-23,SENTINEL-1D,DESCENDING,121,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260123T001150_20260123T001218_000245_00ABCD_1234.zip,SEN_IW_SLC__1SDV_20260123T001150_20260123T001218_000245_00ABCD_1234,"Sentinel-1 SENTINEL-1D IW SLC scene covering Rajapur AOI (Orbit 121, DESCENDING)"
2026-01-16,SENTINEL-1A,ASCENDING,85,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260116T122025_20260116T122052_000244_007980_8064.zip,SEN_IW_SLC__1SDV_20260116T122025_20260116T122052_000244_007980_8064,"Sentinel-1 SENTINEL-1A IW SLC scene covering Rajapur AOI (Orbit 85, ASCENDING)"
2026-01-11,SENTINEL-1A,DESCENDING,121,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260111T001150_20260111T001218_000244_00ABCD_1234.zip,SEN_IW_SLC__1SDV_20260111T001150_20260111T001218_000244_00ABCD_1234,"Sentinel-1 SENTINEL-1A IW SLC scene covering Rajapur AOI (Orbit 121, DESCENDING)"
2026-01-04,SENTINEL-1D,ASCENDING,85,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260104T122025_20260104T122052_000243_007980_8064.zip,SEN_IW_SLC__1SDV_20260104T122025_20260104T122052_000243_007980_8064,"Sentinel-1 SENTINEL-1D IW SLC scene covering Rajapur AOI (Orbit 85, ASCENDING)"
2025-12-30,SENTINEL-1D,DESCENDING,121,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20251230T001150_20251230T001218_000243_00ABCD_1234.zip,SEN_IW_SLC__1SDV_20251230T001150_20251230T001218_000243_00ABCD_1234,"Sentinel-1 SENTINEL-1D IW SLC scene covering Rajapur AOI (Orbit 121, DESCENDING)"
2025-12-23,SENTINEL-1A,ASCENDING,85,SLC,IW,VV+VH,True,NASA ASF DAAC / Copernicus,https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20251223T122025_20251223T122052_000242_007980_8064.zip,SEN_IW_SLC__1SDV_20251223T122025_20251223T122052_000242_007980_8064,"Sentinel-1 SENTINEL-1A IW SLC scene covering Rajapur AOI (Orbit 85, ASCENDING)"
