date,precipitation,temperature_mean,temperature_min,temperature_max,relative_humidity,source,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_14d,rainfall_30d
2018-01-01,0.02,14.17,11.09,19.54,81.34,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.02,0.02,0.02,0.02,0.02
2018-01-02,0.46,12.06,8.63,16.76,84.49,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.46,0.48000000000000004,0.48000000000000004,0.48000000000000004,0.48000000000000004
2018-01-03,4.61,11.28,7.61,16.46,85.22,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",4.61,5.090000000000001,5.090000000000001,5.090000000000001,5.090000000000001
2018-01-04,0.05,9.55,2.5,16.11,85.77,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.05,5.120000000000001,5.140000000000001,5.140000000000001,5.140000000000001
2018-01-05,0.0,10.41,5.36,17.31,88.17,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.0,4.66,5.140000000000001,5.140000000000001,5.140000000000001
2018-01-06,0.0,9.64,6.18,16.0,82.34,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.0,0.05,5.140000000000001,5.140000000000001,5.140000000000001
2018-01-07,0.0,8.02,3.18,14.7,58.86,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.0,0.0,5.140000000000001,5.140000000000001,5.140000000000001
2018-01-08,0.0,6.85,1.06,14.7,72.37,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.0,0.0,5.120000000000001,5.140000000000001,5.140000000000001
2018-01-09,0.0,8.53,4.12,16.18,77.95,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.0,0.0,4.66,5.140000000000001,5.140000000000001
2018-01-10,0.0,9.05,3.79,16.69,85.11,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.0,0.0,0.05,5.140000000000001,5.140000000000001
2018-01-11,0.0,9.47,3.63,17.07,85.29,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.0,0.0,0.0,5.140000000000001,5.140000000000001
2018-01-12,0.0,9.9,4.62,17.39,85.82,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.0,0.0,0.0,5.140000000000001,5.140000000000001
2018-01-13,0.0,11.23,7.0,17.3,84.65,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.0,0.0,0.0,5.140000000000001,5.140000000000001
2018-01-14,0.0,11.33,7.16,17.55,86.45,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.0,0.0,0.0,5.140000000000001,5.140000000000001
2018-01-15,0.03,11.26,8.51,16.11,88.33,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.03,0.03,0.03,5.150000000000001,5.170000000000001
2018-01-16,0.0,11.6,5.4,18.31,85.59,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.0,0.03,0.03,4.69,5.170000000000001
2018-01-17,0.0,12.64,8.1,18.88,85.64,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.0,0.03,0.03,0.08,5.170000000000001
2018-01-18,0.0,12.82,8.25,19.4,81.98,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.0,0.0,0.03,0.03,5.170000000000001
2018-01-19,0.0,12.6,7.52,19.02,86.27,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.0,0.0,0.03,0.03,5.170000000000001
2018-01-20,0.0,12.56,9.01,18.14,87.63,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.0,0.0,0.03,0.03,5.170000000000001
2018-01-21,0.0,12.63,6.65,20.72,79.79,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.0,0.0,0.03,0.03,5.170000000000001
2018-01-22,0.0,12.4,7.04,18.88,85.16,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.0,0.0,0.0,0.03,5.170000000000001
2018-01-23,0.0,12.92,8.86,19.45,86.39,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.0,0.0,0.0,0.03,5.170000000000001
2018-01-24,0.0,12.44,7.65,18.87,83.24,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.0,0.0,0.0,0.03,5.170000000000001
2018-01-25,0.0,10.64,6.71,16.81,73.72,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.0,0.0,0.0,0.03,5.170000000000001
2018-01-26,0.0,9.51,4.87,16.78,71.17,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.0,0.0,0.0,0.03,5.170000000000001
2018-01-27,0.0,7.75,3.17,15.07,76.18,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.0,0.0,0.0,0.03,5.170000000000001
2018-01-28,0.0,7.63,2.42,15.51,64.83,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.0,0.0,0.0,0.03,5.170000000000001
2018-01-29,0.0,8.88,4.93,16.18,59.64,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.0,0.0,0.0,0.0,5.170000000000001
2018-01-30,0.0,8.54,4.04,15.58,70.15,"NASA POWER Daily Agroclimatology API (Point 25.5788 N, 91.8933 E)",0.0,0.0,0.0,0.0,5.170000000000001
