kaggle_idx,title,event_date,date_precision,state,district,location,latitude,longitude,event_type,description,kaggle_source,original_source,original_source_url,is_duplicate,verification_status,confidence,event_id
3,"Landslide in and around Longmai-Khumji Noney Area, Noney District, Manipur (June-July, 2020)",2020-07-00,Month-Year,Manipur,Parsed District,"Landslide in and around Longmai-Khumji Noney Area, Noney District, Manipur (June-July, 2020)",24.8554,24.8554,LANDSLIDE,"The Longmai landslide (Lat: 24°51’19.3”N and Lon: 93°37’26.5”E) occurred during the last week of June, 2020, along the upslope of the NH-37, the Imphal- Jiribam road about 500 meters from Noney Bazar towards Imphal. The landslide occurred at the eastern flank (hill slope of 45° toward 130° at slidin...",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,True,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_001
4,"Landslide around Mao Town, Senapati District, Manipur (July, 2020)",2020-07-00,Month-Year,Manipur,Parsed District,"Landslide around Mao Town, Senapati District, Manipur (July, 2020)",25.5159,94.1365,LANDSLIDE,The Mao landslide (Lat: 25°30’57.3”N and Lon: 94°08’11.5”E) has affected an area of about 0.6 sq.km. posing immense risk to the critical road infrastructure and affecting the residential and commercial buildings along the NH-2 due to the development of tensional cracks and subsidence of the road ben...,kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,True,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_002
5,"Landslide at Tigdo Village, Papumpare District, Arunachal Pradesh (10th July, 2020)",2020-07-10,Exact Day,Arunachal Pradesh,Parsed District,"Tigdo Village, Papumpare District, Arunachal Pradesh (10th July, 2020)",,,LANDSLIDE,"A landslide occurred at Tigdo Village under Doimukh circle, Papumpare district, at around 2:30 am on 10.07.2020, due to heavy rain. As a result of the landslide, a house was totally damaged and 4 persons of a family buried and causes loss of property. The main causative factor is the continuous heav...",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,True,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_003
6,"Landslide at Donyi Colony, Papumpare District, Arunachal Pradesh (25th June, 2020)",2020-06-25,Exact Day,Arunachal Pradesh,Parsed District,"Donyi Colony, Papumpare District, Arunachal Pradesh (25th June, 2020)",27.0813,,SLOPE FAILURE,"A landslide occurred at Donyi Colony, Itanagar, Papumpare district, Arunachal Pradesh, at around 8:12 am on 25.06.2020. The landslide (Lat: 27⁰ 04'52.7""N and Lon: 93⁰ 36' 46.2""E) is initiated due to the outward and downward movement of unstable slope material resulting into loss of life (a two-year-...",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,VERIFIED,HIGH,KAG_NER_EV_004
7,"Landslide at Cachar, Hailakandi and Karimganj District, Assam (June, 2020)",2020-06-00,Month-Year,Assam,Parsed District,"Cachar, Hailakandi and Karimganj District, Assam (June, 2020)",,,SLOPE FAILURE,"In the first week of June 2020, several parts of Barak Valley comprising three districts of Assam viz., Cachar, Hailakandi and Karimganj were affected by eight (08) nos. of landslides triggered by incessant and heavy rainfall. The landslides are spread over four (04) Toposheets: two landslides, viz....",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_005
8,"Landslide at Jowai, Kabi Village, West Jaintia Hills District, Meghalaya (26 May, 2020)",2020-05-26,Exact Day,Meghalaya,Parsed District,"Jowai, Kabi Village, West Jaintia Hills District, Meghalaya (26 May, 2020)",,,LANDSLIDE,"Eight numbers of landslides of varying dimensions has occurred on 26th May 2020 at different localities within the Jowai Township affecting the residential areas, as a result of the incessant rainfall in the preceding days. The primary triggering factor of the documented landslides is heavy antecede...",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,True,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_006
9,"Landslide at Dhare & Sitala, Kabi Village, North Sikkim District, Sikkim (24 May, 2020)",2020-05-24,Exact Day,Sikkim,Parsed District,"Dhare & Sitala, Kabi Village, North Sikkim District, Sikkim (24 May, 2020)",27.3987,88.6236,SLOPE FAILURE,"Two landslides occurred one each at Dhare and Sitala area, on 24th May 2020, 04 km away from Kabi Village towards Gangtok on North Sikkim Highway (NH 310A).  The coordinates of the Dhare landslide (Lat: 27° 23′ 55.2″N and Lon: 88° 37′ 24.9″E) and Sitala landslide (Lat: 27° 23′ 54.2″N and Lon: 88° 37...",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,VERIFIED,HIGH,KAG_NER_EV_007
10,"Landslide at Kabi Village, North Sikkim District, Sikkim (24 May, 2020)",2020-05-24,Exact Day,Sikkim,Parsed District,"Kabi Village, North Sikkim District, Sikkim (24 May, 2020)",27.3931,88.6353,LANDSLIDE,"A landslide got reactivated on 24th May 2020, near upper Kabi Village area on the state highway, adjacent to the border between East and North Sikkim Districts of Sikkim, causing disruption of traffic.  The location is about 22 km from Gangtok on Gangtok- Mangan North Sikkim Highway via Phodong. The...",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,VERIFIED,HIGH,KAG_NER_EV_008
11,"Landslide at Mawlai-Umjapung, East Khasi Hills District, Meghalaya (21 May, 2020)",2020-05-21,Exact Day,Meghalaya,Parsed District,"Mawlai-Umjapung, East Khasi Hills District, Meghalaya (21 May, 2020)",25.62,91.8827,LANDSLIDE,"A landslide occurred at Mawlai-Umjapung about 50 m East of NH-40 on 21st May 2020 around 1:00 pm. It was reported that the landslide had partially buried a house (Lat: 25° 37’ 12” N, Lon: 91° 52’ 57.8” E), when a retaining wall collapsed after incessant rainfall. About 20 m x 15 m area on the gently...",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,VERIFIED,HIGH,KAG_NER_EV_009
12,"Landslide at Bhandari Town, Wokha District, Nagaland (Nov 2019)",2019-11-00,Month-Year,Manipur,Parsed District,"Bhandari Town, Wokha District, Nagaland (Nov 2019)",26.2765,94.1317,LANDSLIDE,"A landslide was observed at about 2 km southeast of Bhandari Town (Lat: 26⁰ 16′ 35.3″ N, Lon: 94⁰ 07′ 54.3″ E), Wokha District, Nagaland during fieldwork by Officers of SU: Manipur & Nagaland in November, 2019. The landslide has occurred on the western slope of hill and multi-temporal Google-Earth i...",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_010
