scene_id,manifest_date,verified_date,manifest_platform,verified_platform,relative_orbit,flight_direction,mode,product_type,polarization,manifest_product_id,verified_product_id,verified_download_url,metadata_match,notes
SCENE_01,2018-01-05,2018-01-02,SENTINEL-1A,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,SEN_IW_SLC__1SDV_20180105T001150_20180105T001218_000000_00ABCD_1234,S1A_IW_SLC__1SDV_20180102T001203_20180102T001230_019968_022025_773B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180102T001203_20180102T001230_019968_022025_773B.zip,MISMATCH,Date Offset: Manifest date 2018-01-05 vs nearest actual ASF date 2018-01-02. | Product ID Mismatch: Manifest ID 'SEN_IW_SLC__1SDV_20180105T001150_20180105T001218_000000_00ABCD_1234' vs actual ASF granule 'S1A_IW_SLC__1SDV_20180102T001203_20180102T001230_019968_022025_773B'.
SCENE_02,2018-05-17,2018-05-14,SENTINEL-1B,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,SEN_IW_SLC__1SDV_20180517T001150_20180517T001218_000011_00ABCD_1234,S1A_IW_SLC__1SDV_20180514T001205_20180514T001232_021893_025D1C_6A94,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180514T001205_20180514T001232_021893_025D1C_6A94.zip,MISMATCH,"Platform Mismatch: Manifest lists SENTINEL-1B, but actual ASF DAAC record is SENTINEL-1A. | Date Offset: Manifest date 2018-05-17 vs nearest actual ASF date 2018-05-14. | Product ID Mismatch: Manifest ID 'SEN_IW_SLC__1SDV_20180517T001150_20180517T001218_000011_00ABCD_1234' vs actual ASF granule 'S1A_IW_SLC__1SDV_20180514T001205_20180514T001232_021893_025D1C_6A94'."
SCENE_03,2018-09-26,2018-09-23,SENTINEL-1A,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,SEN_IW_SLC__1SDV_20180926T001150_20180926T001218_000022_00ABCD_1234,S1A_IW_SLC__1SDV_20180923T001212_20180923T001239_023818_02994E_38B5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180923T001212_20180923T001239_023818_02994E_38B5.zip,MISMATCH,Date Offset: Manifest date 2018-09-26 vs nearest actual ASF date 2018-09-23. | Product ID Mismatch: Manifest ID 'SEN_IW_SLC__1SDV_20180926T001150_20180926T001218_000022_00ABCD_1234' vs actual ASF granule 'S1A_IW_SLC__1SDV_20180923T001212_20180923T001239_023818_02994E_38B5'.
SCENE_04,2019-02-17,2019-02-14,SENTINEL-1A,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,SEN_IW_SLC__1SDV_20190217T001150_20190217T001218_000034_00ABCD_1234,S1A_IW_SLC__1SDV_20190214T001209_20190214T001236_025918_02E2E0_4498,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190214T001209_20190214T001236_025918_02E2E0_4498.zip,MISMATCH,Date Offset: Manifest date 2019-02-17 vs nearest actual ASF date 2019-02-14. | Product ID Mismatch: Manifest ID 'SEN_IW_SLC__1SDV_20190217T001150_20190217T001218_000034_00ABCD_1234' vs actual ASF granule 'S1A_IW_SLC__1SDV_20190214T001209_20190214T001236_025918_02E2E0_4498'.
SCENE_05,2019-06-29,2019-06-26,SENTINEL-1B,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,SEN_IW_SLC__1SDV_20190629T001150_20190629T001218_000045_00ABCD_1234,S1A_IW_SLC__1SDV_20190626T001213_20190626T001240_027843_0324B2_868B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190626T001213_20190626T001240_027843_0324B2_868B.zip,MISMATCH,"Platform Mismatch: Manifest lists SENTINEL-1B, but actual ASF DAAC record is SENTINEL-1A. | Date Offset: Manifest date 2019-06-29 vs nearest actual ASF date 2019-06-26. | Product ID Mismatch: Manifest ID 'SEN_IW_SLC__1SDV_20190629T001150_20190629T001218_000045_00ABCD_1234' vs actual ASF granule 'S1A_IW_SLC__1SDV_20190626T001213_20190626T001240_027843_0324B2_868B'."
SCENE_06,2019-11-08,2019-11-05,SENTINEL-1A,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,SEN_IW_SLC__1SDV_20191108T001150_20191108T001218_000056_00ABCD_1234,S1A_IW_SLC__1SDV_20191105T001218_20191105T001245_029768_0364A9_73E4,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20191105T001218_20191105T001245_029768_0364A9_73E4.zip,MISMATCH,Date Offset: Manifest date 2019-11-08 vs nearest actual ASF date 2019-11-05. | Product ID Mismatch: Manifest ID 'SEN_IW_SLC__1SDV_20191108T001150_20191108T001218_000056_00ABCD_1234' vs actual ASF granule 'S1A_IW_SLC__1SDV_20191105T001218_20191105T001245_029768_0364A9_73E4'.
SCENE_07,2020-03-31,2020-03-28,SENTINEL-1A,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,SEN_IW_SLC__1SDV_20200331T001150_20200331T001218_000068_00ABCD_1234,S1A_IW_SLC__1SDV_20200328T001215_20200328T001242_031868_03ADA6_0B25,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200328T001215_20200328T001242_031868_03ADA6_0B25.zip,MISMATCH,Date Offset: Manifest date 2020-03-31 vs nearest actual ASF date 2020-03-28. | Product ID Mismatch: Manifest ID 'SEN_IW_SLC__1SDV_20200331T001150_20200331T001218_000068_00ABCD_1234' vs actual ASF granule 'S1A_IW_SLC__1SDV_20200328T001215_20200328T001242_031868_03ADA6_0B25'.
SCENE_08,2020-08-10,2020-08-07,SENTINEL-1B,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,SEN_IW_SLC__1SDV_20200810T001150_20200810T001218_000079_00ABCD_1234,S1A_IW_SLC__1SDV_20200807T001222_20200807T001249_033793_03EAE9_77D4,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200807T001222_20200807T001249_033793_03EAE9_77D4.zip,MISMATCH,"Platform Mismatch: Manifest lists SENTINEL-1B, but actual ASF DAAC record is SENTINEL-1A. | Date Offset: Manifest date 2020-08-10 vs nearest actual ASF date 2020-08-07. | Product ID Mismatch: Manifest ID 'SEN_IW_SLC__1SDV_20200810T001150_20200810T001218_000079_00ABCD_1234' vs actual ASF granule 'S1A_IW_SLC__1SDV_20200807T001222_20200807T001249_033793_03EAE9_77D4'."
SCENE_09,2021-01-01,2020-12-29,SENTINEL-1B,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,SEN_IW_SLC__1SDV_20210101T001150_20210101T001218_000091_00ABCD_1234,S1A_IW_SLC__1SDV_20201229T001220_20201229T001247_035893_04341E_9BBC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201229T001220_20201229T001247_035893_04341E_9BBC.zip,MISMATCH,"Platform Mismatch: Manifest lists SENTINEL-1B, but actual ASF DAAC record is SENTINEL-1A. | Date Offset: Manifest date 2021-01-01 vs nearest actual ASF date 2020-12-29. | Product ID Mismatch: Manifest ID 'SEN_IW_SLC__1SDV_20210101T001150_20210101T001218_000091_00ABCD_1234' vs actual ASF granule 'S1A_IW_SLC__1SDV_20201229T001220_20201229T001247_035893_04341E_9BBC'."
SCENE_10,2021-05-13,2021-05-10,SENTINEL-1A,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,SEN_IW_SLC__1SDV_20210513T001150_20210513T001218_000102_00ABCD_1234,S1A_IW_SLC__1SDV_20210510T001220_20210510T001247_037818_0476AF_382D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210510T001220_20210510T001247_037818_0476AF_382D.zip,MISMATCH,Date Offset: Manifest date 2021-05-13 vs nearest actual ASF date 2021-05-10. | Product ID Mismatch: Manifest ID 'SEN_IW_SLC__1SDV_20210513T001150_20210513T001218_000102_00ABCD_1234' vs actual ASF granule 'S1A_IW_SLC__1SDV_20210510T001220_20210510T001247_037818_0476AF_382D'.
