scene_id,verified,verified_acquisition_datetime,verified_platform,verified_relative_orbit,verified_flight_direction,verified_mode,verified_product_type,verified_polarization,verified_product_id,aoi_intersection,verified_download_url,verification_source,notes
SCENE_01,UNVERIFIED (Placeholder Manifest ID),2018-01-02T00:12:03Z,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,S1A_IW_SLC__1SDV_20180102T001203_20180102T001230_019968_022025_773B,True,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180102T001203_20180102T001230_019968_022025_773B.zip,NASA ASF DAAC API (Vertex Search),"Manifest contains placeholder product_id 'SEN_IW_SLC__1SDV_20180105T001150_20180105T001218_000000_00ABCD_1234'. Authoritative ASF granule is 'S1A_IW_SLC__1SDV_20180102T001203_20180102T001230_019968_022025_773B' (Acq: 2018-01-02T00:12:03Z, Platform: SENTINEL-1A)."
SCENE_02,UNVERIFIED (Placeholder Manifest ID),2018-05-14T00:12:05Z,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,S1A_IW_SLC__1SDV_20180514T001205_20180514T001232_021893_025D1C_6A94,True,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180514T001205_20180514T001232_021893_025D1C_6A94.zip,NASA ASF DAAC API (Vertex Search),"Manifest contains placeholder product_id 'SEN_IW_SLC__1SDV_20180517T001150_20180517T001218_000011_00ABCD_1234'. Authoritative ASF granule is 'S1A_IW_SLC__1SDV_20180514T001205_20180514T001232_021893_025D1C_6A94' (Acq: 2018-05-14T00:12:05Z, Platform: SENTINEL-1A)."
SCENE_03,UNVERIFIED (Placeholder Manifest ID),2018-09-23T00:12:12Z,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,S1A_IW_SLC__1SDV_20180923T001212_20180923T001239_023818_02994E_38B5,True,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180923T001212_20180923T001239_023818_02994E_38B5.zip,NASA ASF DAAC API (Vertex Search),"Manifest contains placeholder product_id 'SEN_IW_SLC__1SDV_20180926T001150_20180926T001218_000022_00ABCD_1234'. Authoritative ASF granule is 'S1A_IW_SLC__1SDV_20180923T001212_20180923T001239_023818_02994E_38B5' (Acq: 2018-09-23T00:12:12Z, Platform: SENTINEL-1A)."
SCENE_04,UNVERIFIED (Placeholder Manifest ID),2019-02-14T00:12:09Z,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,S1A_IW_SLC__1SDV_20190214T001209_20190214T001236_025918_02E2E0_4498,True,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190214T001209_20190214T001236_025918_02E2E0_4498.zip,NASA ASF DAAC API (Vertex Search),"Manifest contains placeholder product_id 'SEN_IW_SLC__1SDV_20190217T001150_20190217T001218_000034_00ABCD_1234'. Authoritative ASF granule is 'S1A_IW_SLC__1SDV_20190214T001209_20190214T001236_025918_02E2E0_4498' (Acq: 2019-02-14T00:12:09Z, Platform: SENTINEL-1A)."
SCENE_05,UNVERIFIED (Placeholder Manifest ID),2019-06-26T00:12:13Z,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,S1A_IW_SLC__1SDV_20190626T001213_20190626T001240_027843_0324B2_868B,True,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190626T001213_20190626T001240_027843_0324B2_868B.zip,NASA ASF DAAC API (Vertex Search),"Manifest contains placeholder product_id 'SEN_IW_SLC__1SDV_20190629T001150_20190629T001218_000045_00ABCD_1234'. Authoritative ASF granule is 'S1A_IW_SLC__1SDV_20190626T001213_20190626T001240_027843_0324B2_868B' (Acq: 2019-06-26T00:12:13Z, Platform: SENTINEL-1A)."
SCENE_06,UNVERIFIED (Placeholder Manifest ID),2019-11-05T00:12:18Z,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,S1A_IW_SLC__1SDV_20191105T001218_20191105T001245_029768_0364A9_73E4,True,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20191105T001218_20191105T001245_029768_0364A9_73E4.zip,NASA ASF DAAC API (Vertex Search),"Manifest contains placeholder product_id 'SEN_IW_SLC__1SDV_20191108T001150_20191108T001218_000056_00ABCD_1234'. Authoritative ASF granule is 'S1A_IW_SLC__1SDV_20191105T001218_20191105T001245_029768_0364A9_73E4' (Acq: 2019-11-05T00:12:18Z, Platform: SENTINEL-1A)."
SCENE_07,UNVERIFIED (Placeholder Manifest ID),2020-03-28T00:12:15Z,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,S1A_IW_SLC__1SDV_20200328T001215_20200328T001242_031868_03ADA6_0B25,True,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200328T001215_20200328T001242_031868_03ADA6_0B25.zip,NASA ASF DAAC API (Vertex Search),"Manifest contains placeholder product_id 'SEN_IW_SLC__1SDV_20200331T001150_20200331T001218_000068_00ABCD_1234'. Authoritative ASF granule is 'S1A_IW_SLC__1SDV_20200328T001215_20200328T001242_031868_03ADA6_0B25' (Acq: 2020-03-28T00:12:15Z, Platform: SENTINEL-1A)."
SCENE_08,UNVERIFIED (Placeholder Manifest ID),2020-08-07T00:12:22Z,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,S1A_IW_SLC__1SDV_20200807T001222_20200807T001249_033793_03EAE9_77D4,True,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200807T001222_20200807T001249_033793_03EAE9_77D4.zip,NASA ASF DAAC API (Vertex Search),"Manifest contains placeholder product_id 'SEN_IW_SLC__1SDV_20200810T001150_20200810T001218_000079_00ABCD_1234'. Authoritative ASF granule is 'S1A_IW_SLC__1SDV_20200807T001222_20200807T001249_033793_03EAE9_77D4' (Acq: 2020-08-07T00:12:22Z, Platform: SENTINEL-1A)."
SCENE_09,UNVERIFIED (Placeholder Manifest ID),2020-12-29T00:12:20Z,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,S1A_IW_SLC__1SDV_20201229T001220_20201229T001247_035893_04341E_9BBC,True,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201229T001220_20201229T001247_035893_04341E_9BBC.zip,NASA ASF DAAC API (Vertex Search),"Manifest contains placeholder product_id 'SEN_IW_SLC__1SDV_20210101T001150_20210101T001218_000091_00ABCD_1234'. Authoritative ASF granule is 'S1A_IW_SLC__1SDV_20201229T001220_20201229T001247_035893_04341E_9BBC' (Acq: 2020-12-29T00:12:20Z, Platform: SENTINEL-1A)."
SCENE_10,UNVERIFIED (Placeholder Manifest ID),2021-05-10T00:12:20Z,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,S1A_IW_SLC__1SDV_20210510T001220_20210510T001247_037818_0476AF_382D,True,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210510T001220_20210510T001247_037818_0476AF_382D.zip,NASA ASF DAAC API (Vertex Search),"Manifest contains placeholder product_id 'SEN_IW_SLC__1SDV_20210513T001150_20210513T001218_000102_00ABCD_1234'. Authoritative ASF granule is 'S1A_IW_SLC__1SDV_20210510T001220_20210510T001247_037818_0476AF_382D' (Acq: 2021-05-10T00:12:20Z, Platform: SENTINEL-1A)."
SCENE_11,UNVERIFIED (Placeholder Manifest ID),2021-09-19T00:12:27Z,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,S1A_IW_SLC__1SDV_20210919T001227_20210919T001254_039743_04B33F_8EBC,True,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210919T001227_20210919T001254_039743_04B33F_8EBC.zip,NASA ASF DAAC API (Vertex Search),"Manifest contains placeholder product_id 'SEN_IW_SLC__1SDV_20210922T001150_20210922T001218_000113_00ABCD_1234'. Authoritative ASF granule is 'S1A_IW_SLC__1SDV_20210919T001227_20210919T001254_039743_04B33F_8EBC' (Acq: 2021-09-19T00:12:27Z, Platform: SENTINEL-1A)."
SCENE_12,UNVERIFIED (Placeholder Manifest ID),2022-02-10T00:12:24Z,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,S1A_IW_SLC__1SDV_20220210T001224_20220210T001251_041843_04FB36_67A0,True,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220210T001224_20220210T001251_041843_04FB36_67A0.zip,NASA ASF DAAC API (Vertex Search),"Manifest contains placeholder product_id 'SEN_IW_SLC__1SDV_20220213T001150_20220213T001218_000125_00ABCD_1234'. Authoritative ASF granule is 'S1A_IW_SLC__1SDV_20220210T001224_20220210T001251_041843_04FB36_67A0' (Acq: 2022-02-10T00:12:24Z, Platform: SENTINEL-1A)."
SCENE_13,UNVERIFIED (Placeholder Manifest ID),2022-06-22T00:12:29Z,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,S1A_IW_SLC__1SDV_20220622T001229_20220622T001256_043768_0539B2_F403,True,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220622T001229_20220622T001256_043768_0539B2_F403.zip,NASA ASF DAAC API (Vertex Search),"Manifest contains placeholder product_id 'SEN_IW_SLC__1SDV_20220625T001150_20220625T001218_000136_00ABCD_1234'. Authoritative ASF granule is 'S1A_IW_SLC__1SDV_20220622T001229_20220622T001256_043768_0539B2_F403' (Acq: 2022-06-22T00:12:29Z, Platform: SENTINEL-1A)."
SCENE_14,UNVERIFIED (Placeholder Manifest ID),2022-11-13T00:12:47Z,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,S1A_IW_SLC__1SDV_20221113T001247_20221113T001314_045868_057CDF_65D9,True,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221113T001247_20221113T001314_045868_057CDF_65D9.zip,NASA ASF DAAC API (Vertex Search),"Manifest contains placeholder product_id 'SEN_IW_SLC__1SDV_20221116T001150_20221116T001218_000148_00ABCD_1234'. Authoritative ASF granule is 'S1A_IW_SLC__1SDV_20221113T001247_20221113T001314_045868_057CDF_65D9' (Acq: 2022-11-13T00:12:47Z, Platform: SENTINEL-1A)."
SCENE_15,UNVERIFIED (Placeholder Manifest ID),2023-03-25T00:12:44Z,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,S1A_IW_SLC__1SDV_20230325T001244_20230325T001311_047793_05BDF2_EB0C,True,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230325T001244_20230325T001311_047793_05BDF2_EB0C.zip,NASA ASF DAAC API (Vertex Search),"Manifest contains placeholder product_id 'SEN_IW_SLC__1SDV_20230328T001150_20230328T001218_000159_00ABCD_1234'. Authoritative ASF granule is 'S1A_IW_SLC__1SDV_20230325T001244_20230325T001311_047793_05BDF2_EB0C' (Acq: 2023-03-25T00:12:44Z, Platform: SENTINEL-1A)."
SCENE_16,UNVERIFIED (Placeholder Manifest ID),2023-08-16T00:12:51Z,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,S1A_IW_SLC__1SDV_20230816T001251_20230816T001318_049893_060055_DAC1,True,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230816T001251_20230816T001318_049893_060055_DAC1.zip,NASA ASF DAAC API (Vertex Search),"Manifest contains placeholder product_id 'SEN_IW_SLC__1SDV_20230807T001150_20230807T001218_000170_00ABCD_1234'. Authoritative ASF granule is 'S1A_IW_SLC__1SDV_20230816T001251_20230816T001318_049893_060055_DAC1' (Acq: 2023-08-16T00:12:51Z, Platform: SENTINEL-1A)."
SCENE_17,UNVERIFIED (Placeholder Manifest ID),2023-12-26T00:12:50Z,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,S1A_IW_SLC__1SDV_20231226T001250_20231226T001317_051818_06426E_7762,True,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231226T001250_20231226T001317_051818_06426E_7762.zip,NASA ASF DAAC API (Vertex Search),"Manifest contains placeholder product_id 'SEN_IW_SLC__1SDV_20231229T001150_20231229T001218_000182_00ABCD_1234'. Authoritative ASF granule is 'S1A_IW_SLC__1SDV_20231226T001250_20231226T001317_051818_06426E_7762' (Acq: 2023-12-26T00:12:50Z, Platform: SENTINEL-1A)."
