split,image_file,mask_file,image_path,mask_path,image_size_bytes,mask_size_bytes,width,height,channels,format
train,image_0.png,mask_0.png,data/dataset/train/images\image_0.png,data/dataset/train/masks\mask_0.png,25905,670,128,128,4,PNG
train,image_10.png,mask_10.png,data/dataset/train/images\image_10.png,data/dataset/train/masks\mask_10.png,29809,1154,128,128,4,PNG
train,image_1001.png,mask_1001.png,data/dataset/train/images\image_1001.png,data/dataset/train/masks\mask_1001.png,28512,513,128,128,4,PNG
train,image_1002.png,mask_1002.png,data/dataset/train/images\image_1002.png,data/dataset/train/masks\mask_1002.png,29101,1439,128,128,4,PNG
train,image_1003.png,mask_1003.png,data/dataset/train/images\image_1003.png,data/dataset/train/masks\mask_1003.png,27259,1127,128,128,4,PNG
train,image_1004.png,mask_1004.png,data/dataset/train/images\image_1004.png,data/dataset/train/masks\mask_1004.png,27354,818,128,128,4,PNG
train,image_1005.png,mask_1005.png,data/dataset/train/images\image_1005.png,data/dataset/train/masks\mask_1005.png,26280,798,128,128,4,PNG
train,image_1006.png,mask_1006.png,data/dataset/train/images\image_1006.png,data/dataset/train/masks\mask_1006.png,27439,699,128,128,4,PNG
train,image_1007.png,mask_1007.png,data/dataset/train/images\image_1007.png,data/dataset/train/masks\mask_1007.png,28257,706,128,128,4,PNG
train,image_1008.png,mask_1008.png,data/dataset/train/images\image_1008.png,data/dataset/train/masks\mask_1008.png,24933,674,128,128,4,PNG
train,image_1009.png,mask_1009.png,data/dataset/train/images\image_1009.png,data/dataset/train/masks\mask_1009.png,27905,782,128,128,4,PNG
train,image_1010.png,mask_1010.png,data/dataset/train/images\image_1010.png,data/dataset/train/masks\mask_1010.png,25239,578,128,128,4,PNG
train,image_1011.png,mask_1011.png,data/dataset/train/images\image_1011.png,data/dataset/train/masks\mask_1011.png,26112,550,128,128,4,PNG
train,image_1012.png,mask_1012.png,data/dataset/train/images\image_1012.png,data/dataset/train/masks\mask_1012.png,30857,1430,128,128,4,PNG
train,image_1015.png,mask_1015.png,data/dataset/train/images\image_1015.png,data/dataset/train/masks\mask_1015.png,27878,561,128,128,4,PNG
train,image_1016.png,mask_1016.png,data/dataset/train/images\image_1016.png,data/dataset/train/masks\mask_1016.png,28889,751,128,128,4,PNG
train,image_1018.png,mask_1018.png,data/dataset/train/images\image_1018.png,data/dataset/train/masks\mask_1018.png,26798,518,128,128,4,PNG
train,image_1019.png,mask_1019.png,data/dataset/train/images\image_1019.png,data/dataset/train/masks\mask_1019.png,28362,685,128,128,4,PNG
train,image_102.png,mask_102.png,data/dataset/train/images\image_102.png,data/dataset/train/masks\mask_102.png,24202,737,128,128,4,PNG
train,image_1020.png,mask_1020.png,data/dataset/train/images\image_1020.png,data/dataset/train/masks\mask_1020.png,26082,527,128,128,4,PNG
train,image_1021.png,mask_1021.png,data/dataset/train/images\image_1021.png,data/dataset/train/masks\mask_1021.png,26896,556,128,128,4,PNG
train,image_1024.png,mask_1024.png,data/dataset/train/images\image_1024.png,data/dataset/train/masks\mask_1024.png,28187,601,128,128,4,PNG
train,image_103.png,mask_103.png,data/dataset/train/images\image_103.png,data/dataset/train/masks\mask_103.png,24818,600,128,128,4,PNG
train,image_1034.png,mask_1034.png,data/dataset/train/images\image_1034.png,data/dataset/train/masks\mask_1034.png,26065,734,128,128,4,PNG
train,image_1038.png,mask_1038.png,data/dataset/train/images\image_1038.png,data/dataset/train/masks\mask_1038.png,28365,548,128,128,4,PNG
train,image_1039.png,mask_1039.png,data/dataset/train/images\image_1039.png,data/dataset/train/masks\mask_1039.png,27685,511,128,128,4,PNG
train,image_1044.png,mask_1044.png,data/dataset/train/images\image_1044.png,data/dataset/train/masks\mask_1044.png,24755,715,128,128,4,PNG
train,image_1046.png,mask_1046.png,data/dataset/train/images\image_1046.png,data/dataset/train/masks\mask_1046.png,26725,903,128,128,4,PNG
train,image_1047.png,mask_1047.png,data/dataset/train/images\image_1047.png,data/dataset/train/masks\mask_1047.png,27959,1190,128,128,4,PNG
train,image_1048.png,mask_1048.png,data/dataset/train/images\image_1048.png,data/dataset/train/masks\mask_1048.png,28380,953,128,128,4,PNG
train,image_1049.png,mask_1049.png,data/dataset/train/images\image_1049.png,data/dataset/train/masks\mask_1049.png,24791,691,128,128,4,PNG
train,image_1050.png,mask_1050.png,data/dataset/train/images\image_1050.png,data/dataset/train/masks\mask_1050.png,27641,817,128,128,4,PNG
train,image_1051.png,mask_1051.png,data/dataset/train/images\image_1051.png,data/dataset/train/masks\mask_1051.png,27187,535,128,128,4,PNG
train,image_1052.png,mask_1052.png,data/dataset/train/images\image_1052.png,data/dataset/train/masks\mask_1052.png,24516,735,128,128,4,PNG
train,image_1053.png,mask_1053.png,data/dataset/train/images\image_1053.png,data/dataset/train/masks\mask_1053.png,27155,892,128,128,4,PNG
train,image_1054.png,mask_1054.png,data/dataset/train/images\image_1054.png,data/dataset/train/masks\mask_1054.png,26157,723,128,128,4,PNG
train,image_1055.png,mask_1055.png,data/dataset/train/images\image_1055.png,data/dataset/train/masks\mask_1055.png,24565,715,128,128,4,PNG
train,image_106.png,mask_106.png,data/dataset/train/images\image_106.png,data/dataset/train/masks\mask_106.png,25361,745,128,128,4,PNG
train,image_1060.png,mask_1060.png,data/dataset/train/images\image_1060.png,data/dataset/train/masks\mask_1060.png,27044,908,128,128,4,PNG
train,image_1061.png,mask_1061.png,data/dataset/train/images\image_1061.png,data/dataset/train/masks\mask_1061.png,24875,717,128,128,4,PNG
train,image_1063.png,mask_1063.png,data/dataset/train/images\image_1063.png,data/dataset/train/masks\mask_1063.png,25928,505,128,128,4,PNG
train,image_1065.png,mask_1065.png,data/dataset/train/images\image_1065.png,data/dataset/train/masks\mask_1065.png,27654,886,128,128,4,PNG
train,image_1067.png,mask_1067.png,data/dataset/train/images\image_1067.png,data/dataset/train/masks\mask_1067.png,26536,615,128,128,4,PNG
train,image_1068.png,mask_1068.png,data/dataset/train/images\image_1068.png,data/dataset/train/masks\mask_1068.png,28806,594,128,128,4,PNG
train,image_107.png,mask_107.png,data/dataset/train/images\image_107.png,data/dataset/train/masks\mask_107.png,23898,880,128,128,4,PNG
train,image_1081.png,mask_1081.png,data/dataset/train/images\image_1081.png,data/dataset/train/masks\mask_1081.png,26647,543,128,128,4,PNG
train,image_1083.png,mask_1083.png,data/dataset/train/images\image_1083.png,data/dataset/train/masks\mask_1083.png,28064,626,128,128,4,PNG
train,image_1085.png,mask_1085.png,data/dataset/train/images\image_1085.png,data/dataset/train/masks\mask_1085.png,27949,921,128,128,4,PNG
train,image_1086.png,mask_1086.png,data/dataset/train/images\image_1086.png,data/dataset/train/masks\mask_1086.png,28698,938,128,128,4,PNG
train,image_1087.png,mask_1087.png,data/dataset/train/images\image_1087.png,data/dataset/train/masks\mask_1087.png,25499,652,128,128,4,PNG
train,image_1089.png,mask_1089.png,data/dataset/train/images\image_1089.png,data/dataset/train/masks\mask_1089.png,29845,585,128,128,4,PNG
train,image_1091.png,mask_1091.png,data/dataset/train/images\image_1091.png,data/dataset/train/masks\mask_1091.png,26030,693,128,128,4,PNG
train,image_1093.png,mask_1093.png,data/dataset/train/images\image_1093.png,data/dataset/train/masks\mask_1093.png,24114,662,128,128,4,PNG
train,image_1099.png,mask_1099.png,data/dataset/train/images\image_1099.png,data/dataset/train/masks\mask_1099.png,27770,788,128,128,4,PNG
train,image_11.png,mask_11.png,data/dataset/train/images\image_11.png,data/dataset/train/masks\mask_11.png,29382,1152,128,128,4,PNG
train,image_1101.png,mask_1101.png,data/dataset/train/images\image_1101.png,data/dataset/train/masks\mask_1101.png,24969,724,128,128,4,PNG
train,image_1103.png,mask_1103.png,data/dataset/train/images\image_1103.png,data/dataset/train/masks\mask_1103.png,28535,771,128,128,4,PNG
train,image_1104.png,mask_1104.png,data/dataset/train/images\image_1104.png,data/dataset/train/masks\mask_1104.png,27336,821,128,128,4,PNG
train,image_1105.png,mask_1105.png,data/dataset/train/images\image_1105.png,data/dataset/train/masks\mask_1105.png,27221,819,128,128,4,PNG
train,image_1106.png,mask_1106.png,data/dataset/train/images\image_1106.png,data/dataset/train/masks\mask_1106.png,29010,961,128,128,4,PNG
train,image_1107.png,mask_1107.png,data/dataset/train/images\image_1107.png,data/dataset/train/masks\mask_1107.png,28540,916,128,128,4,PNG
train,image_1108.png,mask_1108.png,data/dataset/train/images\image_1108.png,data/dataset/train/masks\mask_1108.png,28157,542,128,128,4,PNG
train,image_1109.png,mask_1109.png,data/dataset/train/images\image_1109.png,data/dataset/train/masks\mask_1109.png,27886,818,128,128,4,PNG
